Description,Is_Response
"""I'm 19 I've been on depo for 3 years and I LOVE it I didn't have periods , skin problems or hair loss my only problem is I have slight cramps here and there but nothing major but I've recently missed my shot and I feel crazy idk what it is but my period came back immediately """,happy
"""Started depo in Nov 2015 Wasn't too bad at first but I did get the occasional spotting and bleeding.Which sucked because it always happened when I went to see my bf(long distance relationship) Got my 2nd shot and the doctor said after this the bleeding should stop. A day later no bleeding. I was like great. Went to Jamaica in April. 2nd day im there, I start getting these cramps so I decide to go to the bathroom and check and wtf do I see? Blood. Since April 19th I have not stopped bleeding. It's now May 26th. It does say that if the bleeding persists for more than 14 straight days, to contact your doctor. Which I did He said that this wasn't for me at all and I'll be switching to the pill.""",not happy
"""The first 3 times I had this shot, I bled in the 2 weeks leading up to when I was due, but otherwise had no periods. However, I switched to a new doctor who recommended I should be getting the shot every 12 weeks, as opposed to 3 months and since doing that, I haven't bled once and it's been over 2 years. I do notice the area of the shot is quite sore for 2 - 3 days after, but it's nothing I can't handle. My biggest complaint would be the effect this has had on my skin. I had reasonably clear skin before taking this shot and I would describe it as normal - combination. It is now super oily and I have moderate acne, which flares up badly every time I get the shot. Overall, I am very happy with depo, it is cheap and no need for daily pills!""",happy
"""I started depo provera IM after the birth of my son. I never had regular monthly periods before so the injection completely stopped my period while on it. I went off it one year to attempt another pregnancy and it took almost a year for my period to return. I went back on it after deciding against a second child. The only issue I had with the IM injection was a heightened feeling of irritability/anger and soreness at the injection site for a day or two. When depo provera was switched to SQ it alleviated any irritability the day after. I've only had good experiences with depo provera.""",happy
"""Horrible I've had my period for 8 months still have it after getting my first shot in November 2015.""",not happy
"""i got the depo shot a month ago and its been the worst experience of my life! i havent stopped bleeding, i have horrible mood swings, im always depressed, im losing weight and its basically ruining my life. i hate this shot, its side effect are horrible. i do not recomment it all!""",not happy
"""If i could rate this a 0 i would. Worse thing ever! I have been spotting for a month and no sign of it going away. I have crazy and horrible mood swings, i feel depressed most of the time (I've never suffered from depression) i feel tired and sick all the time,constant headaches and weight loss. I will never again get this shot it is THE WORST and should be banned. Its killing me and ruining my life. I can't wait for the 3 month effect to be over so i can go back to normal again""",not happy
"""I'm 18 and I started the depo shot on March 1, 2016. The shot was wonderful all the way up to May. What they say is true. The first two months were great, but now I've been heavily bleeding for 2 1/2 weeks. Because I suffer from migraines, I can't take ""normal"" birth control. The progestin ones only. So I was only offered 3 options: the depo shot, pills that caused me to have 3 periods in one month, or a foreign object in my arm. I'm totally done with birth control which sucks. I want to have a baby sometime in my life, so I don't want the decisions I make now to affect my fertility in the upcoming years. I would NOT recommend the depo shot. The negatives HEAVILY outweigh the goods.""",not happy
"""I have was on the shot for 5 years. I got off In July of 2015. I have started bleeding uncontrollably for 3 days now. My camps are excruciating. Stopping the shot sucks. But being on the shot for 5 years were a great. I had no periods and it was easy.""",not happy
"""I got the depo shot January 2nd 2016 after repeated miscarriage to allow myself time to heal before trying to conceive again. I have now bleed for over 5 MONTHS! Non stop! I've gone to reproductive clinic which is costing a fortune just trying to stop the bleeding with progesterone treatment and nothing is working! My work up is normal no thyroid issue or other causes. It is the depo shot , I wasn't told by my pcp that this could happen! I will never be able to conceive like this. I feel so robbed . I had one shot only""",not happy
"""So my doctor put me on the shot after a hormone treatment stopped working. I had heavy periods and unbEarable cramps. The depo shot worked really well for the first two shots. I only had bleeding when it was time for a shot. After my third shot I hVe had not stop bleeding. I think I'm going to try one more shot and see if anything changes. Other then the bleeding I have had almost not side effects. I have lost weight since going on it. Overall I think it worth it.""",happy
"""I have been on MANY birth control pills and hardly any of them were beneficial to me. I switched to this injection and I'm so happy I did. I started birth control when I was 15 bc my cramps were unbearable. Endometriosis runs in the fam. I also had bad acne so I was trying to alleviate both of those issues. The depo shot didn't affect my acne in any way but it has almost completely diminished my cramps. The first 3 months were rough. didn't bleed for a month and 1/2 after getting it, but then I bled until it was time for my next shot. I got my second shot and didn't have my period for three months. It was AWESOME. Spotting around the due date for next shot is normal. Oh and the shots are painless. Stick through the rough first months!""",happy
"""DO NOT TAKE IT!!!! Ever since I got my first shot in January 2016, I haven't stopped bleeding. (It's May 2016). It gives me horrible cramps, mood swings, and decrease in breast size. I had basically all the bad symptoms from this birth control... Please DON'T take it. I've been bleeding for 4 months straight and it's driving me insane. Please pray for me that this will end soon.""",not happy
"""I'm only writing this in response to the numerous complaints of bleeding for months after receiving the Depo shot. When I went in to get mine, after much research on my part (I'd been on the pill before and it completely did not work for me), I had been told about 5 times that the MOST COMMON side effect of this form on birth control is bleeding/spotting for up to a YEAR. I was given my options and understood the risks and side effects. So for people who are surprised or upset about this, maybe your provider was not clear enough or you yourself did not do enough research, but it is a very well known and common side effect. As with many things, you need to let your body get used to it.""",not happy
"""This birth control is the worst ever. Why would doctors even allow something like this to be on the market. Non stop bleeding forever!!!!!!!! Your whole life stops!! Please remove it!""",not happy
"""I got my first depo shot the beginning of March. After a week I started bleeding with ceasing. I had to buy depends because the bleeding was so heavy. I've gained 15 pounds since received the shot. I called my doc and got the whole it's a common side effect . I started research and came up with ibuprofen therapy. 3 800 mg a day for 3 days. I also read about birth control pills will stop it as well. I started the ibuprofen Friday and it stopped. Saturday I wiped and it was a little pink. I continued to ibuprofen Saturday all day no bleeding in Sunday it was a oil pinkish. I took a birth control pill Sunday. Monday which is today no bleeding no pink just a lil brown. Took a bc pill this morning no pink no brown so far.""",not happy
"""I've had one injection of depo provera and honestly the first two months were fine. Now I'm getting tingling all over my body & more sensitive skin and I've been on my period all month when these symptoms started. Honestly I don't like it, I have another appointment to get my second shot I'm trying it for another 3 months then seeing how that goes. Also very horrible cramps""",not happy
"""I had the depo injection last year and everything was fine, no periods or nothing. Went back this year in March 2016 for the first shot. Had 2 months with out anything periods but all of a sudden I'm having light spotted bleed go and some days they are heavy. It's happened for 6 days now.. Is this normal?""",happy
"""Received first Depo shot in September 2015 began constant bleeding right after. The bleeding varies from light most of the time & sometimes heavy almost like a regular period. It is now April 28, 2016 & I am STILL bleeding. I never recieved second shot. I'm in touch with my doctors who are deciding what to do. I've read I may have to have a DNC which I do not like. I already have pre-cancer cells on my cervix & have to have regular biopsies to monitor it but since the bleeding I have not been able to do any of that. I DO NOT recommend this shot to anyone. The risk & complications for is greater than benefits in my opinion. Try another birth control. *Depo should be taken off the market*""",not happy
"""I have had the shot only once. I didn't get my period the first month which is okay with me. I got my period the second month. It wasn't heavy like normal and only lasted a couple days. However the third month I got my period at the end of the month. My cycle is usually the beginning of the month. I've been bleeding light and heavy for the past week or so. I've had bad cramps and just been depressed. The shot made me gain a lot of weight the first two months now I'm just dropping weight like crazy. I also noticed dryness during sex. I would get the rod but scared because of the reviews back to the pill""",not happy
"""I was on depo for 5 years and just got off of it 3 months ago to try and conceive. I had never been on any other type of BC with which I could compare it. I found it nice having no period (no planning ahead for trips, no having to buy tampons!) Though it did contribute to an unpleasant vag dryness which I could have done without. Luckily I did not gain any weight in the 5 years of depo, the only caveate being that I monitored my weight more than the average person ever would and I have always exercised and eaten healthy. With that said, however, I did find that I had to try a lot harder to maintain my weight than before depo. I did not notice any other side effects. Having been off it I noticed I am more fatigued than usual.""",happy
"""I'm 25 and have been on depo for about 14 months and the only good thing is no periods!! But I still have cramps from time to time.... Since using depo I have been diagnosed with anxiety and outrageous depression to the point I'm on meds... I noticed alot of stomach pain, tingling in hands or feet, feeling nauseated when eating food, hair lost and weight gain. Went from size 16 to 22.. Always in a down mood and it killed my sex drive This drug is definitely not for me... Been off for 4 months now and still no sign of a period.... Hopefully it changes soon""",not happy
"""When I first got the depo shot everything was wonderful. I went 2.5 months with no weight gain nor bleeding. Then the bleeding came the last three weeks. Then I went to take the second shot on march 3rd and I still havent stopped bleeding til this day April 21. So I've been bleeding more than TEN WEEKS! In the past two weeks they have been the heaviest where I've been messing up my undies cause it happens at sporatic times of the day. Like for example I would wake up with a clean pad, take a shower go about half my day then out of no where while I'm out I'd be bleeding. I'm already very anemic and going through this isn't helping my condition. I called my gyn's office and they NEVER got back to me and its been over a week.""",not happy
"""I started depo last month of this year the first month was cool but this month got my period not to heavy but been bleeding for almost 2 weeks now don't think I'll get the second shot from what I'm seeing with the reviews thinking of the pill even though it's to late for me now""",not happy
"""I had two injections of depo-provera when I was 25. The first shot was fine, no abnormal physical side effects, maybe a little spotting during what should have been my menstrual cycle. Then about a month after the 2nd shot I cascaded into a deep depression that involved suicidal thoughts. My libido was also gone and it took over a year after the 2nd and final injection to feel better in terms of the depression. My libido never recovered. I am now 45. My last sexual encounter was when I was 32. I firmly believe that depo-provera is responsible. But hey, bright side, right? I didn't get pregnant :/""",not happy
"""I've had a horrible experience with this shot. I only wish I have read all of the horror reviews before getting it to save myself a year of hormonal problems and a scarred face from a cystic acne breakout. Once I got the shot I got online and started reading the reviews and was horrified because part of me knew I made a huge mistake- and oh did I. I bled for 6 months straight! I was practically drinking liquid iron by glasses because of how much blood I was losing after getting the shot. I got the shot BECAUSE of painful and heavy bleeding periods! But it only made it much much worse. I finally went back to my docs, they put me on patch that stopped the bleeding""",not happy
"""After 1 week receiving the shot. I had night sweats for 5 days. I been having severe anxiety. My body aches like I have the flu it will be one month I've been on depo the night sweats r away but I'm having pain in my feet and in my knees. The odd thing is instead of gaining weight I'm loosing weight I lost so far 12 lbs in almost a month. I'm starting to spot due to my period always comes on the 20th. Not getting cramping yet. I'm not going to get depo again because the night sweats n leg pain n some minor headaches I don't like. I'm 31 yrs old and a mom of 4. My husband says since the shot he noticed me more down n not in the mood. So I'm certain the depo is causing all this craziness to my body.I'm getting blood work done to c if its my thyroid""",not happy
"""It's my first time taking birth control decided to go with the shot I did a lil research and wished I saw this sooner..about 95% of the women who tried this shot had terrible experiences ..I've started depo about a month ago and everything was fine..I am now in my 2nd month and received my first period I have been bleeding for almost a week my cycle is normally 6 days so I figured it is normal but after reading these reviews im a lil scared and have decided to discontinue the shot hopefully I do not have the horrible experience that most of these women had """,not happy
"""I got my first Depo Provera injection at the beginning of January 2016. Within the first week I started bleeding, and have now been bleeding everyday since. The bleeding goes from light to heavy, not too bad for cramps. I also have suffered vaginal dryness which has been incredibly uncomfortable. My doctor and I decided for me to go on depo due to me having suspected endometriosis. I did research about depo for a month before hand but I completely regret my decision. I have also lost a lot of hair, been feeling stressed and feeling down and severe acne that has scarred my skin. My doctor encouraged me to get a second shot with the promise of it calming things down but I refused, it has ruined how I feel about myself and wasted money on pads""",not happy
"""My Dr. started me on this shot because I have heavy periods and iron deficiency anemia. Got the shot in January 2016...was loving not having periods. Then on March 27, I started my period. It's April 13 now and no signs of stopping. Plus now I have huge dark clots and lots of cramping. It also gave me extreme acne...huge ulcer type zits all over my face, neck, chest and shoulders and total decrease in sex drive. I also now have cysts on my ovaries that they're monitoring. I'm 45 and I don't need the egg baskets or the baby carriage and I'm going to request a total hysterectomy. Sick of the life destroying effects of only one round of this shot. Plus it's definitely not helping with my anemia, only making it worse! Ladies Dont Get This Shot!""",not happy
"""I have had the first shot of depo and I bleed for 2 months strait I went to the gyno and they had to get the layer of decayed uterin wall and the gyno advised me not get on the depo shot anymore because he's had to many women come in with the same problem. So I would advise get the rod in your arm it's strictly progestin just like depo but you don't have any bleeding at all""",not happy
"""WARNING! I received two injections, and it was the worst 6 months of my life. This should come with EXPLICIT warnings, but didn't. I came down with severe anxiety and depression. My life fell apart and I had to leave town to regroup. My interpersonal relationships unravelled. I was so depressed I couldn't move. I saw a pyschiatrist and he suggested that the depression could very well have been due to the depo shot - he's seen it affect others like this as well. Also, I rapidly gained 15-20 lbs. It's been 8 months since my last injection and I am ECSTATIC to report my period finally came back. It can take that long to leave the system! This is a dangerous drug. Monitor your mental health closely. In fact don't do it""",not happy
"""I got the depo injection in August 2015. After a week I started spotting which continued until my next injection in November. The GP said the bleeding would stop soon after I had the next injection so I agreed and get shot number 2. I continued to bleed into February 2016 and decided not to get a third injection. I continued to bleed after 2 weeks so went on the pill. This stopped the bleeding but the pill gave me migraines (which is the reason I went on depo) so I stopped taking it after a month. And within the week I was bleeding again. It's now April 2016 and I'M STILL BLEEDING! When is it going to stop?! I went to the gp for blood tests and I'm now low in iron because I've basically been bleeding for 6 WHOLE MONTHS.""",not happy
"""I've been on depo provera since October I had to switch to this as I was getting migraines from the pill I was on, I've just gotten my 3rd injection 2 days ago. It's the best choice I ever made!! I know a lot of people get bad side effects but I got none, I got no bleeding and my periods have stopped completely which is a bonus as I used get extremely bad cramps. I have had an increased sex drive which is a good benefit and if anything my boobs have gotten a small bit bigger and I've maintained my weight! I was put on this merely for contraception as I'm 18 with a boyfriend but I couldn't recommend this more, I read reviews before I got it and was terrified but it's worth a shot if you're unsure!""",happy
"""I read all the reviews prior to trying this injection, so i was quite apprehensive. Honestly best contraception i have ever used. Have had no side effects, no bleeding and don't ever get my period and it is 100x more convenient than taking the pill. I have been using it for almost 12 months. My advice for people is don't get too concerned by reading all the reviews, obviously drugs react with people differently so for some people it may not be suitable but it is great for me!""",happy
"""I have beeon the depo since sept 2015 and i have been bleeding since (6 months) it has gotten out of control. I have to have an ultrasound done this week to make sure everything is ok. I will not be getting my mext injection.""",not happy
"""Ive been on Depo on about three months, and Im just about to get my second shot. My arm really ached for a couple days after the shot, but eventually that went away. The first month was really rough, I had a continuous period for the whole month, I had major mood swings, major cramping. It was hell, and if you would have asked me, I would have told you that I would not get another shot. The second month wasnt too bad, although I had quite a bit of spotting and this month has been better. It's getting better and Im feeling positvely about getting my second shot.""",happy
"""I have been on the Depo shot for roughly 3 1/2 years, until recently, I've had NO problems. The only tough part would be the week before the next shot, and the shot itself. Usually, about 1 week before my next shot, I would spot, nothing to messy or horrible, just very inconvenient for me. But ever since I missed my shot when I went to Sweden, shit has gotten real bad! Not only do I bleed 2-3 weeks prior my shot, but the flow can range from light to extreme heavy!!! This flow does not stop, no, not until 2 weeks AFTER the shot, does the faucet completely turn off. My recommendation, if it's working for you, do NOT miss your Depo shot appointment!!! I believe that's where everything went wrong!!""",happy
"""I started depo mid Feb, I'm 38, can't have kids, but due to a work injury, my periods were aggravating my back pain. My period lasted 12 days. I then stopped bleeding, missed a period and was stoked thinking it was working...nope..for the last 37 days I have been bleeding. I had a scan, found a 3x7mm polyp and found that my uterus had backflipped and my endometrial wall was thick. I've just had my second shot, the doctor said 2 or 3 days and the bleeding should stop. Fingers are crossed, but I don't have high hopes, I'm looking into getting my uterus removed...that's how miserable the prolonged bleeding has made me. On the flip side though, my 19yo daughter got the injection the same day as me and has had no dramas what so ever.""",not happy
"""Had depo for 2 years. Found it was great within those two years, then decided to give body a break and got last injection in September 2015 and only start getting period back. But anyway the end of February I got thrush for 9 days. Then got my first period 9th March for 2 weeks and straight after that I got thrush AGAIN immediately after them finishing up until yesterday (30th April) and woke up with period yet again this morning. And god knows for how long""",not happy
"""I only had 2 SHOTS!! Been bleeding non stop for 6 months straight! I'm off the shot now for over 11 days and still bleeding, have a gyn appt. Scared what could it be???""",not happy
"""DO NOT GET THIS INJECTION. After the injection I was bleeding constantly for 4 months afterwards, I could not even have sex because it was like I was on my period every single day. After the 4 months of bleeding it finally stopped for about 3 days, then once again I was bleeding, I'm still bleeding and I see no sign of it going away. PLEASE DO NOT GET THIS INJECTION.""",not happy
"""Horrible form of birth control. Convenient yes but bled continuously while I was on it. Gave me severe depression when I have never had any depression before. Gained weight steadily with no change in diet so depo is cause. After 3 doses and no improvement in side effects I stopped this nightmare.""",not happy
"""I was on depo for about a year and stopped for a couple of reasons. Overall it was great. I've been on BC for a few years because of my PCOS, and after forgetting to take the pill all the time, I started this. I stopped because I read online that it can cause permanent infertility (not mentioned on the side effects) and that terrified me. PROS: •NO ACNE!! Even in 120° weather with no A/C, I didn't have a single pimple. It was amazing. •Not having to remember it •Effectiveness •Increased sex drive. This also happened to me on the progestin only pill (Mini pill) CONS: •I had a few UTI's •Very irregular periods. I didn't bleed at all, but Id have occasional breakthrough bleeding without any warning.""",happy
"""I've been on Depo for about 9 months now, it seemed like the perfect solution to heavy bleeding and unbearable cramping. I think the doctor forgot to mention that I would bleed NONSTOP for months. (I'm still bleeding) Going on it was the worst decision of my life. Also, my family is high risk for ovarian cancer, my doctor was worried about cysts before I went on the shot, and now I'm fearing that if I didn't already have them when I started Depo I have them now. Please stay away from this. The worst part is I'm only 18 and I am now at an even higher risk for breast and ovarian cancer.""",not happy
"""I would rate this a zero if I could. I got the shot dec 14, I decided to get on depo because I do not want kids yet. Everything was fine at first until January 1st I started spotting, sometimes heavy, sometimes light. But it's now March 26 and I'm still bleeding. The cramps are so HORRIBLE btw I used up almost 2 bottles of ibuprofen since the bleeding started.""",not happy
"""So im 17, I got the shot a little over a week ago. So far nothing but good to report here. However where I got the shot (arm) was pretty sore for like 5 days, and I'd say I probably had slight depression for a few days afterwards, but now I'm back to normal. I also had an increase in appetite which is probably why alot of people have gained weight.. im a health nut so appetite is something I control on a regular basis. The best thing is that my boobs grew MAJOR!!""",happy
"""To all the negitive reviews it really depends on the person I had my youngest december 26 2015 and in mid January I got the depo shot and I've lost weight I hadn't had a peroid I only had two days of spotting my sex drive is starting to come back and as far as moody goes I've been Moody my whole life here my skin is clear that's about all I can say so please don't listen to the negatives I know there's a lot built depends on the person""",happy
"""Worst experience ever. I have not stopped bleeding right when I got the shot I immediately regretted it. Don't do it""",not happy
"""The depo shot went really well for me. The first time I got the shot I did bleed for about a month, but for the next year and a half I did not bleed at all. After that I never really had any cramping or anything like that. The only bad thing is that you can only take it for up to 2 years, so now I have to find a new birth control.""",happy
"""Horrible form of birth control. With all of these negative side affects I do not understand how it is still on the market and why doctors don't warn their patients of this. I got the ""ya it may cause irregular bleeding"" and I figured a bit of spotting but NO!! it is ALL THE TIME. I got the shot for the first time in Dec 2014, got the spotting and continued on for a second round hoping it would subside, but quite the opposite...it got worse! I was bleeding for three months straight. I ended the shots but decided to give it another go in sept 2015, with the same results if not worse. I didn't go back for the second round and it is now March 2016, and I am STILL BLEEDING....6 months later. This is the worst form of birth control ever""",not happy
"""First time depot user and it has been one of the worst mistakes of my life. Its day 35 post the shot and I have bleed everyday with HORRIBLE cramps. I have experienced weakness, dizziness, headaches, depression and am always tired. I can not wait until this is out of my system.""",not happy
"""I have gotten the depo about 4 years ago. Loved it because it stopped my menstrual. I got back on it in October 2015. It stopped my period for a month and a half In December 2015 I started bleeding. Couldn't wait until February to get my next shot. Today March 2016 after getting my 2nd shot I'm still bleeding. This is the worst ever. I will never take Depo again. When will it stop. I can't do anything. So depressed""",not happy
"""I had my 8th child in Nov/2015.I received a depo shot before I was discharged. I had a quick break between postpartum bleeding and my period. Then all sudden now my periods are 2-3 weeks long. :( I'm on day 9 right now. Still bright red blood with no ending in sight.""",not happy
"""I was happy with this birth control at first. I liked the thought of not getting my period when it went away after my second shot but 3 years later it has been making me gain 10 lbs per year I was about 130 when I started it I am now almost 200 and the longer I have been on it the more if an increase in pounds per year I am noticing. Its been decreasing my sex drive lately and also occasionally makes me moody""",not happy
"""I started the depo shot January 9th,2016 on my period and two weeks later on January22,2016 I started my cycle again and have been bleeding for 3 months and is still bleeding. I will not be going for my second injection which is in two weeks. I also have head aches and get dizzy often and it has been hard for me to get wet since I started. I will not recommend this to anyone.""",not happy
"""I am currently on birth control and have been for a little over a year I haven't had a period since I've had my son and I've gained a lot of weight I'm about to quit taking it and Im always stressed out and my hair is falling out a lot never done this before""",not happy
"""So I've been on the Depo shot for about 5 years now, and have had hardly no problems. I still get period cramps, but no bleeding after the first year. The only issue I have with this medicine is for about the first year your period is all over the place and your sex drive is a little lacking, but otherwise it's pretty great. I reccomend you get the shot every 11 weeks though because on the 12th week you may start spotting and bleeding and having period symptoms-even if you had yuor period a week ago. So, I've had pretty good experience with it.""",happy
"""I'm not sure if I would recommend this birth control before others to someone else, but it worked great for me for seven plus years. Mind you, I was told by my endocrinologist that my GP should have never allowed me to stay on this bc because of the side effects of losing bone density mass - because of this I now have osteopenia at age 29. Why rate it an 8? Because other then this (which I am now ""fixing"" with weight lifting and calcium/mag supps) I never had any issues with the depo. I didn't have to remember a pill and had no side effects from it. Because of this, I would recommend it. I took it for convenience but my bone density suffered because of it.""",happy
"""I had my first depo shot november 25 2015, I was good for a week with no bleeding, I was suppose to go get my 2nd shot 25 feb 2016 but decided not too as I bled & still am bleeding today 13.03.2016, cramps are really bad clots are bad, I wish I had never had this shot. The doctor doesn't tell you that this could happen for months on end if they did I guess most of us would have thought twice about having it. I am full of regrets & I'm more depressed than I was before. I hate the bleeding it makes me feel disgusting & dirty as its never ending on a daily basis. My mood swings are at what i would call a dangerous level. I so would suggest that women thinking this is the best contraceptive out there, too think twice & read what has happened to us""",not happy
"""Doctor put me on depo provera to try and help with my heavy periods. I bleed constantly. Doctor then gave me another shot 10 weeks later saying it should get better now. Well she was wrong it was the worst bleeding in my life so heavy huge clots nothing would stop the bleeding after 6 months I had to get an ablation done. It saved me for awhile but I ended up with a hysterectomy which was the best decision of my life but wouldn't of had these decisions if I didn't have the depo shot. Was the worst experience of my life and from it ended up losing my fertility by age 37 luckily I had already had my kids. Hey everyone is different and reacts differently. But my experience with depo was very traumatic worst thing in the world.""",not happy
"""I got my first shot of depo before I got discharged from the hospital after having my son back in Sept 2015. I had my normal postpartum bleeding but was still bleeding ranging from spotting to heavy when I got my 2nd shot. I have been bleeding on and off more on than off so when I missed my 3rd shot on the 23rd of Feb 2016, I was thinking the bleeding would stop but no. I have been full blown heavy period type bleeding for the last 2 weeks. I already have anemia problems and had to have a blood transfusion after I had my son. So this nonstop bleeding is not good but I can't get it to stop and can't go see a doctor cuz I no longer have insurance to do so. I will not be going back on depo for sure.""",not happy
"""I got the Depo Shot 1.5 yrs. ago. I was having painful periods due to my endometriosis. I received the shot in my butt and it didn't hurt. After my 1st shot I had some spotting for a few days. Then about 8 weeks in I got a light period for 4 days, but got worse on week 11 and had a regular period (which are normally painful for me). My doctor decided I could get the shot every 6-8 weeks to help with my painful periods & growth of endometriosis. During this time I hadn't gotten a single period which is good. HOWEVER, since I've been on it for a yr. now & my side effects: fatigue, hot flashes, fatigue, mood swings/anxiety, & weight gain of 25 lbs.! I didnt get my next shot & it's been 15 weeks since my last shot. No change nor period yet.""",not happy
"""I had the depo shot in September of last year and have been bleeding ever since I went a month from approximately form the end of January until the beginning of March with no bleeding or spotting and now I have been bleeding again for 18 days it started out light and then slowly has become very heavy. Before depo I have had bad experiences with birth control so I was very hesitant to take it and this has just turned into a night mare, to be bleeding 6 out of 7 months has taken a tole on my relationship and a tole on my self-esteem. Best advice encourage your partner to wear a condom instead of facing these horrible horrible side affects.""",not happy
"""I got the shot for the first time in December 2015. I was 4 weeks post partum at the time. The first week was ok. Then I began spotting and eventually it lead to a heavy bleeding. I have been bleeding for going on 3 months.(I am still bleeding.) and was told this morning March 9 2016 that if I don't see a change that I need to go to the emergency room""",not happy
"""I've had three shots so far and loved it. This is one of the only hormonal methods of bc that doesn't kill my sex drive or cause migraines. I tend to have one, two-week period per shot which isn't bad. The first day or two after the shot is a little rough--I get hot flashes--but after that it evens out and you wouldn't even remember you've taken something. I would definitely recommend that people try it at least once to see if their bodies tolerate it like mine does.""",happy
"""I've been on depo for about 2 years. I just got my shot in feb 3. everything was good then I started to bleed heavy the first time but now it's light. I would even bleed after sex. The bleeding would stop for a couple of hours but it would come right back. It's an everyday thing!!! I've also been having pelvic and back pain really bad.""",not happy
"""I hopped on the depo August 2012 after having my child on and off untill April 2015 I had no bleeding in the time I was on it, until beginning if August 2015 I started bleeding went to the doctors they made me do s.t.i and s.t.d checks everything came back negative for anything but still bleeding , but then I found out I had to have minor surgery for cervical cancer so doctors assumed that , that could be the cause of the continuos bleeding I've had the surgery done but still bleeding I have no idea why, I've gotta go back to the doctors once again so they can send me for some type of scan to find out why . Has anyone else had this problem ?""",not happy
"""So I had gotten my first depo shot December 28,2015 in the ER because I was bleeding so bad from my cycle that the doctor said I had to get it so it can control my bleeding . so I noticed February 20th , 2016 brown old blood ai didnt know if it was normal , I was happy that the shot wore off because I read so many reviews and got scared . now its March 5th and Im bleeding normal / heavy in the middle . I'm worried that this will affect my marriage. I just want the bleeding to be done and get regular .""",not happy
"""Dont get on depo unless u want spotting for the rest of your life, can cause breast cancer doctors can't reverse it causes infertility after shot is given it does more harm to your body then it does good.""",not happy
"""Just got the shot today, sore where I got the shot at but I'll keep y'all updated""",happy
"""Was on depo shot for 9 months. First I had lighter periods and the endometriosis pain was better. Second month I had light period but it was all month. And then after that the pain was less and there was no bleeding. I started to gain weight. Almost 50 pounds. I already have back pain from herniated disk so I did not go and get my last shot. Endometriosis pain is back ten times worse. And I have been bleeding almost nonstop since September 2015 and it is now March 1 2016. I'm gonna go back to the Dr and have a hysterectomy. I can not stand the bleeding or the pain""",not happy
"""I HATE this drug! The side effects are AWFUL! I woke up feeling the worst nausea every morning, to the point where I would sometimes vomit. It causes AWFUL headaches. I had a really large clot once along with killer cramps. My period was still irregular. Yes it was not as heavy, but it did cause spotting for a majority of the 3 months I was on it. My skin (WHICH HAPPENED TO BE GETTING CLEARER!) was breaking out throughout the 3 months and in places that I never used to break out in. Also, I went from being one of the happiest people, to majorly depressed with anxiety and mood swings. I now have the worst panic attacks. It will also make your sex life become HORRIBLE! PLEASE DONT TAKE THIS! Read all the reviews before you do!""",not happy
"""I used this before having my son in August 2015, it was great then, no periods for a whole year, then once I had my son I went back to the same contraception, only to find out it would not be the same, I had my first injection 4 weeks ago, the first week was fine, then came the bleeding, and it has not stopped since, every day no gaps and heavy! Its a great contraceptive simply for the fact you can NOT have sex because of the side effects! My advice after having children, DO NOT GET THE DEPO INJECTION! !!!! x""",not happy
"""When I first started getting the shot. I bled for 3 months. After that I get my normal period every 3 months now. I gained weight the first couple shots but now on my second year of getting them I lost weight and maintain it easily. This method ended up working really well for me even though at first it was rough. It also decreased my period cramps. Wish I didn't have to switch after 2 years.""",happy
"""I started the shot back in March 2015. It was alright for the first couple months, but after my 2 shot, I began spotting and bleeding after sex. About a month in, it just wouldn't stop. I got my 3rd shot in late Sept hoping it'd clear up like my doctor said, and it didn't. I was due for another for Christmas day, but I decided to stop as I've been non-stop bleeding for months now. I told my doctor and we've agreed to switch. It has not been 2 months since I've stopped, and I'm still bleeding. I haven't been able to start the new one because of it. I'm thoroughly disappointed in this treatment, and wont be recommending it to anyone, ever.""",not happy
"""I gotten my first shot around Sept/Oct of 2015 and I bled ALL THREE MONTHS . December of 2015 I was due for a second shot and I decided not to go get my second shot . And ever since then I've been bleeding off and on . It would stop for couple hours and then back to bleeding . I had a typical white discharge one day and when I went to go shower I was bleeding through my pants . And I'm only 18 YEARS OLD !!! The depo shot has completely ruined my periods . Does anyone know if you can get an infection from nonstop bleeding ?""",not happy
"""I have been on the shot since April of 2015, and I have had a time with it. Bleeding every day, decrease in my sex drive and it even hurts to have intercourse, and cramps here and there. Today, at this very moment, I am experiencing extreme cramps. I don't know if it's because the shot is a wearing off, but it hurts like hell. Not only from my experience do I want to stop taking it, but the reviews and news reports I see about this shot, I'm definitely not trying to have any extra health issues. I'm only 20. The only good thing about the shot is that it calmed my cramps when I had my period. Without the depo, when my period comes around, I can do no kind of activity what so ever. I use to call out of work or miss class once a month.""",happy
"""I got my first depo shot in October 2015 everything was fine till December started feeling really sleepy and had heavy bleeding for about 2 weeks then it stopped and started again on new years and ever since I haven't stopped bleeding. It goes from spotting to light bleeding and heavy bleeding I am really scared and I'm only 18 is this normal ?""",not happy
